,0.01,0.99
var_0,4.4247950000000005,18.175902
var_1,-9.883609,7.5417
var_2,5.4567,17.320999999999998
var_3,2.515897,11.2126
var_4,7.5599989999999995,14.4847
var_5,-21.060402000000003,12.290505000000005
var_6,3.6006,7.438301000000001
var_7,9.766999,23.892501
var_8,-6.7325029999999995,6.6601
var_9,4.7860000000000005,9.8741
var_10,-11.730304,11.977601000000002
var_11,-16.293509,10.5223
var_12,13.555399000000001,14.4199
var_13,-2.2879,17.348302
var_14,3.0460000000000003,12.207304000000004
var_15,13.7129,15.488
var_16,4.043183999999999,15.547005000000006
var_17,-20.667501,8.409311000000011
var_18,-0.620801,32.84001400000002
var_19,-3.7994220000000003,30.185814000000015
var_20,1.799591,25.433902000000003
var_21,-0.810215,35.47361300000001
var_22,-1.556901,11.15671000000001
var_23,1.911699,4.175701000000001
var_24,3.251697,18.721302
var_25,13.0803,14.357901000000002
var_26,-16.543629,10.242307000000007
var_27,-4.253801,2.185101000000001
var_28,3.7739999999999996,7.253404000000004
var_29,-0.422104,11.465503000000004
var_30,-24.63111,7.750704000000004
var_31,5.733295,15.356504000000005
var_32,-5.817101,4.9457
var_33,5.8628,23.904313000000013
var_34,10.247599,12.558701000000001
var_35,-7.587814,14.979000000000001
var_36,-4.726901999999999,8.940301000000002
var_37,1.286299,11.088101000000002
var_38,1.7369919999999999,20.525305000000007
var_39,-8.3793,9.360906000000005
var_40,-24.256515,12.12071000000001
var_41,-2.141401,23.006702
var_42,9.652799,12.622501000000002
var_43,10.8797,12.2159
var_44,-5.7135,21.125301
var_45,-57.44852100000001,32.697904
var_46,5.2034,17.952106000000008
var_47,-34.19039,9.083402000000001
var_48,-9.639422999999999,39.202000999999996
var_49,0.7012980000000001,34.02660800000001
var_50,11.1857,14.260000999999999
var_51,-3.539404,31.892012000000012
var_52,-13.662516,8.325201000000002
var_53,4.418399,7.784
var_54,-16.627507,18.694302
var_55,1.7993940000000002,25.523220000000016
var_56,8.3142,23.900304000000006
var_57,4.620697,8.027801
