,0.01,0.99
var_0,4.4145,18.102895999999998
var_1,-9.898693,7.405695999999996
var_2,5.443801000000001,17.248395
var_3,2.522301,11.189195999999995
var_4,7.5555,14.4792
var_5,-21.095992,12.122076999999978
var_6,3.594301,7.413998999999999
var_7,9.764908,23.89059199999999
var_8,-6.7410000000000005,6.646196999999997
var_9,4.835803,9.8817
var_10,-11.736585999999999,12.001694999999994
var_11,-16.331999,10.459794999999994
var_12,13.561701,14.4205
var_13,-2.102897,17.364185999999986
var_14,3.0507,12.211198999999999
var_15,13.7114,15.4831
var_16,4.0447,15.541194999999995
var_17,-20.667599,8.40657899999998
var_18,-0.644898,32.603570999999974
var_19,-3.7974939999999995,30.139891999999993
var_20,1.8202,25.44989099999999
var_21,-0.653895,35.55074699999995
var_22,-1.566498,11.025492999999994
var_23,1.9171,4.177198999999999
var_24,3.2395,18.66989099999999
var_25,13.0798,14.3566
var_26,-16.593367999999998,10.115594999999995
var_27,-4.252399,2.1864
var_28,3.7798,7.2554969999999965
var_29,-0.423296,11.462994999999994
var_30,-24.633297,7.751693999999994
var_31,5.7339,15.369086999999988
var_32,-5.8235,4.9016
var_33,5.977812,23.917997
var_34,10.2627,12.560899
var_35,-7.613964,14.938395999999996
var_36,-4.694985000000001,8.948397999999997
var_37,1.2883010000000001,11.081399
var_38,1.7435010000000002,20.520989999999994
var_39,-8.362497000000001,9.368492999999992
var_40,-24.293286999999996,12.028392999999992
var_41,-2.125795,23.00368299999998
var_42,9.652202,12.621998999999999
var_43,10.8831,12.2161
var_44,-5.622587,21.145793999999995
var_45,-57.347080999999996,32.764995
var_46,5.208107,17.937397999999998
var_47,-34.207958999999995,9.074793999999995
var_48,-9.690672000000001,39.108197999999994
var_49,0.6876009999999999,33.873397999999995
var_50,11.187501,14.259998999999999
var_51,-3.5461869999999998,31.750185999999985
var_52,-13.682695,8.303896999999997
var_53,4.4156,7.78
var_54,-16.596988000000003,18.689187999999987
var_55,1.7957010000000002,25.432392999999998
var_56,8.434401,23.926499
var_57,4.6235,8.03
var_58,-6.160499,12.829791999999992
var_59,7.0999,10.771298
var_60,3.766401,22.311799
var_61,-35.680665,14.034494999999996
var_62,-3.416299,5.771197999999998
var_63,-6.530485,7.007592999999993
var_64,3.034801,9.447498999999999
var_65,-7.501097000000001,8.859390999999993
var_66,3.394603,8.293997999999998
var_67,-4.552294,28.220585999999987
var_68,5.0018,5.0341
var_69,-11.403087000000001,5.867795999999996
var_70,-0.271696,48.787597999999996
var_71,0.1036,1.246098999999999
var_72,-7.900197,9.212791999999993
var_73,3.768907,35.55699299999999
var_74,-12.237088,49.52473399999994
var_75,3.04191,29.359880999999984
var_76,-12.36488,22.812884999999984
var_77,11.760002,27.084196999999996
var_78,1.159505,9.507198999999998
var_79,11.8082,17.343698999999997
var_80,-12.126699,20.6232
var_81,9.212001,19.589899
var_82,-21.024472,13.9332
var_83,-17.641697999999998,17.71017899999998
var_84,-15.938192,10.760097999999997
var_85,10.394304,26.461396999999998
var_86,-13.057396999999998,21.86708799999999
var_87,-0.494193,23.8229
var_88,3.1956010000000004,14.0053
var_89,-3.7817990000000004,12.301699
var_90,-43.739895,10.342088999999989
var_91,6.678300999999999,7.3232
var_92,3.933801,21.759698999999998
var_93,9.221701,11.6921
var_94,5.4951,17.076299
var_95,-1.4172,1.3592989999999991
var_96,-2.7574929999999997,33.113688999999994
var_97,-7.521484999999999,45.11578899999999
var_98,0.107402,3.295198999999999
var_99,-4.681097,3.7024979999999985
var_100,-27.224257,12.207496999999996
var_101,2.4740020000000005,23.447084999999987
var_102,3.1204,40.6282
var_103,1.1914,1.965398999999999
var_104,7.286103,15.950697999999997
var_105,2.3912,6.266
var_106,4.3785,12.858680999999983
var_107,2.2547040000000003,34.52868799999999
var_108,13.823201,14.5495
var_109,9.230606000000002,27.397098999999997
var_110,-2.7805890000000004,14.386497999999998
var_111,4.020202,8.780596999999998
var_112,-0.135299,6.299998999999999
var_113,-1.818092,17.0505
var_114,0.8,5.149696999999997
var_115,-3.6822980000000003,7.843297999999999
var_116,-1.1528,5.771898999999999
var_117,-12.418967,44.66767999999998
var_118,-24.989656999999998,13.486284999999986
var_119,-5.475199,12.555581999999983
var_120,-0.6388,51.8127
var_121,7.8416,14.9641
var_122,-10.198494,11.967093999999994
var_123,-7.6004950000000004,19.460596999999996
var_124,-1.9609969999999999,10.198998999999999
var_125,11.854500999999999,13.238598999999999
var_126,11.5356,14.792797999999998
var_127,-5.882584,7.162692999999994
var_128,-7.9272,5.446597999999998
var_129,6.375114,24.440997999999997
var_130,10.544302,14.093596999999997
var_131,-0.473098,1.445
var_132,4.598407,10.780899
var_133,6.0084,7.6884
var_134,-17.415186,9.022096999999997
var_135,-20.262294,13.212084999999984
var_136,1.866539,44.24029699999999
var_137,-0.03555800000000004,36.517398
var_138,-8.943283000000001,11.273196999999998
var_139,-9.725897999999999,24.3936
var_140,-7.518793,13.190097999999997
var_141,-12.002796,16.125898
var_142,-0.060476000000000016,24.679687999999988
var_143,5.495701,18.590297
var_144,6.6687,10.655098999999998
var_145,-3.313799,13.583296999999996
var_146,4.436402999999999,15.862896999999997
var_147,-19.278090999999996,13.146383999999985
var_148,3.5439999999999996,4.4278
var_149,-17.561497,28.470170999999972
var_150,11.8554,22.057291999999997
var_151,2.138201,19.175594999999994
var_152,0.5280020000000001,14.012997999999998
var_153,12.4277,20.979797
var_154,-4.018594,17.141795
var_155,-14.4576,11.26169099999999
var_156,11.310703000000002,15.269499
var_157,-16.311498999999998,8.643394999999995
var_158,1.0416010000000002,34.66109399999999
var_159,1.289808,19.448094999999995
var_160,3.2318009999999995,47.21199199999999
var_161,5.172999999999999,6.1136
var_162,2.3387019999999996,8.559296999999997
var_163,0.470002,23.879499
var_164,-14.287695999999999,8.391794999999995
var_165,8.258803,30.135393999999994
var_166,2.118901,3.7315
var_167,-21.699776,12.544096999999997
var_168,-1.446491,12.66769099999999
var_169,4.834,6.4395
var_170,-9.317497000000001,10.36457999999998
var_171,-12.543498,10.9974
